,acc_g
0,0.00056653353
1,0.00056653353
2,0.00061736704
3,0.00069482817
4,0.00069482817
5,0.00061736704
6,0.00056653353
7,0.00069482817
8,0.0007504652
9,0.0007504652
10,0.00069482817
11,0.00056653353
12,0.00056653353
13,0.00069482817
14,0.0007504652
15,0.0007504652
16,0.00069482817
17,0.00056653353
18,0.00061736704
19,0.00069482817
20,0.00069482817
21,0.00061736704
22,0.00056653353
23,0.00056653353
24,0.00046318234
25,0.00046318234
26,0.0004875588
27,0.0006066008
28,0.00069068477
29,0.00069068477
30,0.0006066008
31,0.0004875588
32,0.0004875588
33,0.0006565331
34,0.00078650174
35,0.0008709967
36,0.0008709967
37,0.00078650174
38,0.0006565331
39,0.0004875588
40,0.0006066008
41,0.00078650174
42,0.00089882984
43,0.0009451304
44,0.0009451304
45,0.00089882984
46,0.00078650174
47,0.0006066008
48,0.00046318234
49,0.00069068477
50,0.0008709967
51,0.0009451304
52,0.0009657638
53,0.0009657638
54,0.0009451304
55,0.0008709967
56,0.00069068477
57,0.00046318234
58,0.00046318234
59,0.00069068477
60,0.0008709967
61,0.0009451304
62,0.0009657638
63,0.0009657638
64,0.0009451304
65,0.0008709967
66,0.00069068477
67,0.00046318234
68,0.0006066008
69,0.00078650174
70,0.00089882984
71,0.0009451304
72,0.0009451304
73,0.00089882984
74,0.00078650174
75,0.0006066008
76,0.0004875588
77,0.0006565331
78,0.00078650174
79,0.0008709967
80,0.0008709967
81,0.00078650174
82,0.0006565331
83,0.0004875588
84,0.0004875588
85,0.0006066008
86,0.00069068477
87,0.00069068477
88,0.0006066008
89,0.0004875588
90,0.00046318234
91,0.00046318234
92,0.000403278
93,0.00046789023
94,0.00046789023
95,0.000403278
96,0.00038767254
97,0.0005225493
98,0.0006316475
99,0.0007002061
100,0.0007002061
101,0.0006316475
102,0.0005225493
103,0.00038767254
104,0.00038767254
105,0.0005906722
106,0.00073213043
107,0.00078950793
108,0.000808382
109,0.000808382
110,0.00078950793
111,0.00073213043
112,0.0005906722
113,0.00038767254
114,0.0005225493
115,0.00073213043
116,0.0008149678
117,0.0008405024
118,0.00085212133
119,0.00085212133
120,0.0008405024
121,0.0008149678
122,0.00073213043
123,0.0005225493
124,0.000403278
125,0.0006316475
126,0.00078950793
127,0.0008405024
128,0.0008697977
129,0.00088838435
130,0.00088838435
131,0.0008697977
132,0.0008405024
