,div,curl
0,0.00043881083847886634,0.00017032807444243158
1,0.00020358730222500324,0.00016412063969391334
2,0.00020358744684243998,0.00016412047859965076
3,0.0004388105841042781,0.00017032778275200138
4,0.00043880969311689354,0.0001703285237775089
5,6.059412089130227e-05,1.104364459887086e-05
6,0.00013968866852754157,8.394044654503002e-05
7,0.00013968855052515902,8.394047489410725e-05
8,6.059380212608991e-05,1.104375797871606e-05
9,0.0004388096678176733,0.0001703288522668372
10,0.00020358878368391178,0.00016412072833413524
11,0.00013968818854554453,8.394072692124221e-05
12,0.0004037623471819356,9.427031536760678e-05
13,0.0004037623446504722,9.427036611772272e-05
14,0.00013968830213646486,8.394070854083577e-05
15,0.00020358871179718244,0.00016412067557470498
16,0.00020358728518726687,0.00016412084730359254
17,0.00013968802382052613,8.394064735800674e-05
18,0.00040376258129209676,9.427037988916073e-05
19,0.0004037625150887964,9.427047495722251e-05
20,0.00013968783396226792,8.39407806411618e-05
21,0.00020358738210286622,0.00016412093536468178
22,0.00043880881871031754,0.00017032831662428275
23,6.059493020271726e-05,1.1043681330355623e-05
24,0.00013968808326591156,8.394093825038621e-05
25,0.0001396877526570437,8.394104116876157e-05
26,6.059491505428543e-05,1.1043911366291007e-05
27,0.0004388087704815631,0.00017032815652726305
28,0.00043881021199914413,0.0001703283589347892
29,0.00020358760299404361,0.00016412076689437433
30,0.00020358785261898678,0.00016412071707890048
31,0.0004388102996041169,0.00017032849951185159
32,0.0003871071548522125,7.784677888771997e-05
33,0.0001987257707579208,8.065237406037434e-05
34,0.00019872560344968512,8.065203245739128e-05
35,0.00038710723445104997,7.784699704140981e-05
36,0.0005856115916329155,6.43716701663304e-06
37,4.478003220990053e-06,7.458253606841339e-05
38,0.0002894017476001112,7.44578427422108e-05
39,0.00040836684538017153,0.00010436899307179114
40,0.00040836689446247746,0.0001043689194326287
41,0.00028940178496740873,7.445784645457777e-05
42,4.477732830978995e-06,7.45828973366232e-05
43,0.0005856118619133626,6.437072782107181e-06
44,4.478269295145118e-06,7.45828117102394e-05
45,0.00038384358097112335,4.8895360858998944e-05
46,0.0005373532390822431,1.7595036539235396e-05
47,0.0006569477685779414,2.5938992992852486e-05
48,0.000656947687934689,2.5938974504366615e-05
49,0.0005373530450312533,1.7594928043759074e-05
50,0.0003838430556845573,4.889544440947613e-05
51,4.477943981578981e-06,7.458288327263424e-05
52,0.0003871068938846884,7.784691615866053e-05
53,0.00028940310174783887,7.445733976830082e-05
54,0.000537352990185334,1.7595294209179368e-05
